"id","firstname","lastname","nik","email","born","date_of_birth","address","city","phone","job","color","created_at","updated_at"
100,Patricia,Nasyiah,"5104212904981648",pratama.samiah@gmail.com,Ambon,1994-10-25,"Jr. Ciumbuleuit No. 856, Bekasi 41924, Gorontalo",Bima,"0831 9772 1188",Konsultan,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
101,Genta,Aryani,"3576724302021788",carub44@gmail.co.id,Cimahi,2007-03-27,"Kpg. Sudirman No. 505, Tegal 83804, Kaltara",Sibolga,"026 9709 0471",Perangkat Desa,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
102,Laswi,Anggriawan,"3674474106179059",sidiq58@gmail.co.id,Malang,1981-02-15,"Gg. Rajiman No. 699, Ambon 40593, Bali",Tangerang Selatan,(+62) 839 4970 0343,Nahkoda,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
103,Eka,Winarsih,"1906286608002227",lili83@gmail.co.id,Yogyakarta,1982-12-11,"Dk. Orang No. 428, Bogor 12375, Sulut",Lhokseumawe,"022 3595 1405",Dokter,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
104,Hadi,Rahimah,"3323367007949776",onuraini@yahoo.com,Subulussalam,1977-05-08,"Dk. Baja Raya No. 828, Jambi 10993, Babel",Bima,(+62) 806 5096 3472,Belum / Tidak Bekerja,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
105,Jaswadi,Haryanti,"7373160411994314",zrajasa@yahoo.com,Samarinda,1987-04-08,"Kpg. Baladewa No. 145, Pontianak 81077, Kalsel",Tual,(+62) 24 2888 596,Nelayan / Perikanan,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
106,Vanesa,Budiyanto,"7315380409993894",jagapati69@gmail.co.id,Pagar Alam,1981-05-05,"Jln. Arifin No. 383, Mojokerto 32465, Jateng",Parepare,"0221 6486 563",Belum / Tidak Bekerja,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
107,Melinda,Pangestu,"5205624108950649",yulianti.maida@gmail.co.id,Solok,2014-03-06,"Psr. Rumah Sakit No. 352, Gunungsitoli 64949, Malut",Parepare,(+62) 853 3634 2723,Imam Masjid,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
108,Bahuwirya,Zulaika,"2171702208155894",mahmud42@yahoo.com,Manado,1982-11-17,"Kpg. Batako No. 991, Singkawang 57278, Papua",Tomohon,(+62) 397 4919 818,Bidan,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
109,Oni,Pudjiastuti,"1707747006995082",yunita59@yahoo.co.id,Tangerang Selatan,2008-12-25,"Ki. Cemara No. 741, Tangerang Selatan 33862, Banten",Solok,(+62) 867 4061 9246,Montir,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
110,Kenes,Nababan,"7305380404052561",aslijan63@yahoo.co.id,Kendari,1992-10-20,"Ki. Bakaru No. 149, Blitar 66821, Kepri",Banda Aceh,(+62) 821 288 235,Pegawai Negeri Sipil (PNS),sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
111,Tina,Winarno,"7403634512193861",jayadi36@yahoo.com,Bitung,1980-08-21,"Ki. Bambu No. 509, Payakumbuh 49610, Sumut",Parepare,(+62) 26 7702 7588,Buruh Nelayan / Perikanan,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
112,Ami,Lestari,"7309831010013990",rajata.wani@yahoo.com,Tangerang Selatan,1985-01-06,"Jln. Tambun No. 200, Surakarta 96342, DKI",Gunungsitoli,"0851 050 432",Notaris,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
113,Puspa,Padmasari,"3511354108088040",gaman06@gmail.com,Bontang,2023-08-15,"Ki. Salatiga No. 947, Cimahi 19770, Jatim",Sungai Penuh,(+62) 565 3600 1676,Ustaz / Mubaligh,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
114,Darmaji,Sitompul,"5303851410947499",karimah26@gmail.com,Bontang,2023-03-24,"Ds. Aceh No. 87, Tanjungbalai 79750, Kaltara",Kediri,"0780 0489 028",Karyawan BUMN,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
115,Patricia,Pangestu,"1105731609981288",cpuspita@yahoo.com,Kediri,1980-06-09,"Jln. Jayawijaya No. 178, Bekasi 44276, Maluku",Langsa,"0667 5149 4429",Nahkoda,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
116,Ida,Prakasa,"3309151608159853",kusumo.betania@yahoo.co.id,Palembang,2000-11-28,"Ki. Halim No. 591, Langsa 34532, DKI",Padang,"0269 3400 2827",Tentara Nasional Indonesia (TNI),kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
117,Viktor,Pertiwi,"9106144809236480",kawaca.narpati@yahoo.com,Depok,1977-04-16,"Jr. Abdul. Muis No. 449, Magelang 54920, Sultra",Payakumbuh,"0211 1446 1091",Karyawan BUMD,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
118,Panji,Winarno,"3205684105954974",elisa52@yahoo.co.id,Singkawang,1972-02-26,"Jln. Babadak No. 516, Ternate 35176, Kaltara",Administrasi Jakarta Utara,"0454 2391 528",Montir,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
119,Bancar,Jailani,"1871030312118238",hputra@yahoo.co.id,Pasuruan,1972-01-21,"Psr. Industri No. 724, Jambi 55026, Aceh",Surakarta,(+62) 296 3812 771,Pendeta,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
120,Nrima,Habibi,"7207196008195604",ysuwarno@gmail.co.id,Metro,1985-10-20,"Dk. Jayawijaya No. 890, Magelang 97297, Bali",Surakarta,(+62) 854 8038 1098,Guru,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
121,Gabriella,Hidayat,"7110100208981372",ywidodo@gmail.com,Palembang,1990-05-07,"Jr. Baung No. 756, Sabang 23650, Riau",Metro,"0512 0940 2287",Arsitek,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
122,Tasdik,Yulianti,"9171091006237444",zalindra.riyanti@yahoo.com,Pangkal Pinang,2016-02-10,"Kpg. Sam Ratulangi No. 501, Banjar 12397, Kalbar",Administrasi Jakarta Barat,"0506 5766 147",Bidan,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
123,Aswani,Manullang,"1216212404996179",fyolanda@gmail.co.id,Sabang,1984-09-25,"Ds. Padma No. 213, Tanjung Pinang 36526, Malut",Magelang,"0659 2323 4271",Buruh Harian Lepas,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
124,Safina,Suryatmi,"8205422810949652",oprastuti@gmail.com,Pekanbaru,1985-03-13,"Psr. Bagonwoto  No. 542, Administrasi Jakarta Timur 41474, Sulbar",Sorong,(+62) 461 6667 4180,Kondektur,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
125,Atmaja,Usamah,"1109102104057363",tina.yuniar@yahoo.com,Sukabumi,1980-05-12,"Kpg. Peta No. 823, Subulussalam 50392, Malut",Tanjungbalai,"0608 8849 745",Penyiar Televisi,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
126,Elisa,Napitupulu,"7303244510992313",ellis.zulkarnain@yahoo.co.id,Pontianak,1984-12-15,"Gg. Babakan No. 283, Medan 93583, Banten",Cilegon,"0755 0649 5556",Perdagangan,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
127,Maimunah,Fujiati,"1221992902200814",xsiregar@yahoo.com,Pontianak,1973-04-07,"Psr. Sukajadi No. 590, Parepare 65490, Kaltim",Samarinda,(+62) 274 1739 8578,Dosen,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
128,Laila,Sitompul,"8108222706183562",bsetiawan@gmail.com,Kotamobagu,2015-10-01,"Gg. Ciumbuleuit No. 974, Pontianak 13224, Papua",Bima,(+62) 474 9458 3681,Presiden,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
129,Puji,Wijayanti,"6110902807233266",znatsir@yahoo.com,Lhokseumawe,1976-09-05,"Dk. Ters. Pasir Koja No. 374, Bengkulu 19949, DKI",Administrasi Jakarta Barat,(+62) 760 1632 137,Konsultan,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
130,Ida,Nainggolan,"5201510210194273",wirda.nuraini@yahoo.co.id,Mataram,1989-01-04,"Jr. Barasak No. 281, Administrasi Jakarta Selatan 98807, Jabar",Pasuruan,(+62) 334 9022 060,Buruh Peternakan,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
131,Farah,Nasyidah,"3471624607038576",mumpuni.wastuti@gmail.co.id,Administrasi Jakarta Timur,2009-03-05,"Gg. Adisucipto No. 533, Surakarta 58795, Kaltim",Yogyakarta,(+62) 700 3828 8617,Pemandu Wisata,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
132,Wage,Prasetya,"1509015706030918",marbun.galar@gmail.co.id,Sorong,1979-09-01,"Gg. Bahagia No. 731, Prabumulih 88315, Sulut",Serang,(+62) 820 4476 8736,Industri,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
133,Iriana,Dabukke,"7410797011231945",puput.maheswara@gmail.co.id,Sabang,2016-11-08,"Dk. Adisucipto No. 227, Cimahi 14354, DKI",Bengkulu,"0990 5549 3312",Industri,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
134,Widya,Maryadi,"5203735805955598",uwijaya@gmail.com,Administrasi Jakarta Barat,1987-07-06,"Psr. Moch. Toha No. 216, Pasuruan 98602, DIY",Ambon,"0625 6753 8717",Promotor Acara,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
135,Bakianto,Wasita,"1105893101243409",raisa.tampubolon@yahoo.com,Lubuklinggau,1993-11-16,"Ds. Bara No. 823, Gorontalo 99561, Sultra",Sawahlunto,"0936 2282 828",Penyiar Televisi,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
136,Kenari,Habibi,"1214251512001880",owastuti@gmail.com,Singkawang,2003-05-25,"Gg. Barasak No. 921, Bima 15030, Banten",Pangkal Pinang,"0877 5188 3010",Jaksa,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
137,Dina,Oktaviani,"6311301009050732",kamaria.natsir@yahoo.co.id,Pematangsiantar,1991-01-20,"Psr. Bacang No. 141, Metro 84109, Riau",Depok,(+62) 837 861 879,Tukang Listrik,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
138,Bagas,Sihotang,"1405810312193457",eman69@gmail.com,Cimahi,2009-03-19,"Psr. Bhayangkara No. 885, Depok 72617, Sulut",Gunungsitoli,(+62) 24 1301 722,Mekanik,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
139,Kiandra,Yolanda,"5104866804011947",sitompul.zahra@yahoo.co.id,Sibolga,2001-07-11,"Gg. Cihampelas No. 678, Tanjungbalai 59791, Lampung",Ambon,"0765 3265 1017",Guru,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
140,Wahyu,Wasita,"3319432008945051",azalea.nugroho@yahoo.co.id,Sawahlunto,1973-07-26,"Gg. Gatot Subroto No. 343, Pagar Alam 21197, Kalsel",Cilegon,(+62) 710 3552 1435,Mengurus Rumah Tangga,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
141,Malika,Zulaika,"3317251305947993",tmaryati@yahoo.com,Sawahlunto,1995-10-26,"Jln. Cikapayang No. 793, Gunungsitoli 34725, Sulteng",Parepare,(+62) 273 0491 4294,Konstruksi,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
142,Margana,Wacana,"3604181711055270",jriyanti@gmail.co.id,Sukabumi,2012-11-28,"Dk. Tangkuban Perahu No. 684, Tangerang 46320, Sumut",Sungai Penuh,(+62) 419 8390 205,Pelajar / Mahasiswa,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
143,Candrakanta,Novitasari,"1504491204023892",dartono16@yahoo.com,Bengkulu,2019-06-19,"Jln. Baha No. 620, Madiun 22066, Sultra",Administrasi Jakarta Barat,"0870 0725 6285",Satpam,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
144,Kayla,Prasasta,"9116840803039935",elaksita@yahoo.com,Palu,2005-03-18,"Jln. Labu No. 774, Pontianak 89497, Kepri",Salatiga,(+62) 25 2852 124,Notaris,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
145,Tiara,Uwais,"1410685501188175",klailasari@gmail.com,Pekalongan,1996-01-04,"Jln. Wahidin Sudirohusodo No. 766, Salatiga 49621, Aceh",Bima,(+62) 25 0670 4152,Karyawan BUMD,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
146,Raditya,Sihotang,"3315795411168910",rmaulana@yahoo.co.id,Pangkal Pinang,1980-11-03,"Gg. Yohanes No. 339, Gunungsitoli 86738, Jateng",Makassar,(+62) 423 3192 7744,Pegawai Negeri Sipil (PNS),mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
147,Puti,Wasita,"3516722405048953",purnawati.makuta@gmail.co.id,Administrasi Jakarta Selatan,2021-05-11,"Psr. Sutarjo No. 39, Lhokseumawe 38754, Babel",Sukabumi,(+62) 210 0470 092,Jaksa,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
148,Jaswadi,Riyanti,"9109454308227431",hana75@yahoo.com,Ambon,2003-12-18,"Dk. Untung Suropati No. 425, Kotamobagu 56155, Banten",Bukittinggi,(+62) 736 4838 232,Dosen,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
149,Karimah,Maryati,"1472020509223172",pertiwi.mustika@yahoo.co.id,Cimahi,2019-08-07,"Kpg. Bakti No. 153, Solok 12387, Sulteng",Administrasi Jakarta Pusat,"026 3704 6249",Buruh Peternakan,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
150,Hendra,Permadi,"1312636010176134",permadi.gilang@gmail.co.id,Pasuruan,1976-04-29,"Psr. Abdullah No. 357, Medan 88374, NTT",Padangsidempuan,(+62) 21 6542 1858,Karyawan BUMD,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
151,Novi,Jailani,"3171455008136175",rahayu.mulyono@gmail.co.id,Padangpanjang,1999-04-15,"Psr. Wora Wari No. 920, Pagar Alam 12629, Papua",Salatiga,"0883 935 122",Mengurus Rumah Tangga,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
152,Cahyo,Wijayanti,"5108432507149571",farida.ami@gmail.co.id,Tanjungbalai,1980-06-01,"Gg. Banal No. 707, Bogor 23187, Sulut",Bekasi,"0475 1977 3361",Nahkoda,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
153,Putri,Situmorang,"3521754907014203",lhariyah@gmail.co.id,Ternate,2018-12-27,"Psr. Ters. Pasir Koja No. 70, Lhokseumawe 41002, Sulsel",Padang,"0628 9201 4555",Konsultan,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
154,Cindy,Manullang,"9110766602158393",clara98@yahoo.co.id,Batu,2014-11-24,"Gg. Gajah Mada No. 749, Tangerang Selatan 15511, Gorontalo",Banjarmasin,(+62) 333 2474 084,Petani / Pekebun,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
155,Sabar,Gunawan,"5306045210052883",tari.rahayu@gmail.com,Pematangsiantar,2012-06-30,"Ds. Halim No. 808, Banjar 73641, Bengkulu",Blitar,"028 0774 8223",Petani / Pekebun,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
156,Zaenab,Nababan,"3214005809058137",cindy.pudjiastuti@gmail.co.id,Kendari,2012-09-19,"Jr. Fajar No. 417, Padang 39825, DIY",Bontang,"0279 4706 868",Perawat,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
157,Hesti,Suwarno,"5305471309095144",nova54@gmail.co.id,Tegal,2016-12-11,"Kpg. Sutarto No. 897, Surabaya 48482, Malut",Sungai Penuh,(+62) 690 9097 9819,Tukang Batu,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
158,Melinda,Safitri,"5103765203148874",zelaya.wibowo@gmail.com,Banjarmasin,1988-06-16,"Ki. Suryo Pranoto No. 120, Cirebon 57911, Jateng",Tangerang Selatan,"0563 5571 7716",Tukang Sol Sepatu,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
159,Muhammad,Mandasari,"3329470611056729",wardi94@yahoo.com,Padangsidempuan,2008-04-26,"Jr. Orang No. 878, Probolinggo 48160, Aceh",Pekanbaru,"0537 5600 719",Tukang Jahit,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
160,Karja,Rahayu,"9109875902077002",rahayu.tirtayasa@yahoo.co.id,Pekanbaru,2017-05-16,"Dk. Pasirkoja No. 237, Payakumbuh 26816, Gorontalo",Singkawang,(+62) 878 3195 905,Perawat,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
161,Maimunah,Sirait,"1812180306039120",tnamaga@yahoo.com,Tual,1997-01-14,"Psr. Suharso No. 770, Padang 84738, Riau",Tegal,(+62) 432 0614 670,Peneliti,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
162,Ifa,Pratiwi,"1303642703205228",lsihombing@yahoo.co.id,Kupang,2003-11-20,"Kpg. Baladewa No. 362, Banjarmasin 12221, Sumbar",Kediri,"0654 7927 316",Pendeta,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
163,Puspa,Hardiansyah,"3403446612119299",dewi.mangunsong@gmail.co.id,Bima,2001-09-10,"Jln. Hayam Wuruk No. 683, Mataram 13688, Kalsel",Palembang,(+62) 262 3035 3266,Buruh Peternakan,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
164,Umar,Simanjuntak,"3525500310995815",mansur.jane@yahoo.co.id,Pagar Alam,2015-01-25,"Dk. Kalimantan No. 814, Banda Aceh 49379, Bengkulu",Palangka Raya,"0433 9042 887",Tukang Jahit,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
165,Novi,Hutapea,"6102821011233655",xpermata@gmail.com,Jayapura,2005-08-20,"Jln. Setiabudhi No. 783, Lubuklinggau 86388, Banten",Bekasi,(+62) 22 7203 136,Penata Rambut,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
166,Vino,Hutasoit,"8105401506974026",novitasari.joko@gmail.co.id,Mataram,2021-06-29,"Gg. R.E. Martadinata No. 63, Pekanbaru 77394, Kalsel",Sukabumi,(+62) 642 2180 8995,Penerjemah,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
167,Mursinin,Putra,"7306705203202325",qgunawan@gmail.co.id,Tanjungbalai,2005-06-02,"Dk. Gatot Subroto No. 595, Palu 90348, Maluku",Batam,(+62) 900 6367 5191,Penerjemah,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
168,Silvia,Aryani,"1219671609039097",nugraha01@gmail.com,Bandar Lampung,1995-04-15,"Ki. Raya Ujungberung No. 124, Bitung 37315, Sumut",Batam,"0381 7687 3580",Desainer,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
169,Tami,Mandala,"1111060508138258",jagaraga.hutapea@yahoo.com,Ambon,1999-11-24,"Ds. Ekonomi No. 384, Administrasi Jakarta Barat 80829, Jatim",Bima,(+62) 417 9197 096,Industri,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
170,Maimunah,Suartini,"1707124109056162",jessica.yulianti@gmail.com,Mataram,1978-12-02,"Kpg. Raden Saleh No. 72, Tarakan 54095, Sulsel",Administrasi Jakarta Selatan,"026 8891 217",Industri,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
171,Endah,Mayasari,"7312360809136528",balangga.prakasa@yahoo.co.id,Padangsidempuan,1996-10-10,"Ds. Babah No. 137, Banda Aceh 29104, Kaltim",Solok,"0523 7973 850",Buruh Harian Lepas,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
172,Laswi,Rajata,"6211726905067438",jessica.habibi@gmail.com,Bogor,1991-02-03,"Psr. Monginsidi No. 274, Singkawang 40105, Jabar",Sawahlunto,"0223 7478 783",Pengacara,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
173,Daryani,Prastuti,"7212912006160113",cemani.budiman@yahoo.co.id,Batu,2020-02-04,"Jln. Sutarjo No. 172, Bandung 42864, Sumbar",Probolinggo,(+62) 812 6912 7982,Tukang Las / Pandai Besi,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
174,Leo,Tampubolon,"7410842806201996",darmaji.siregar@yahoo.com,Banjarmasin,2009-09-08,"Ki. Babadak No. 816, Lubuklinggau 95612, Kalteng",Langsa,"0813 1448 7566",Akuntan,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
175,Harto,Aryani,"3304316106989023",lsaefullah@gmail.co.id,Tangerang Selatan,1995-02-07,"Kpg. Untung Suropati No. 115, Pekalongan 75653, Kalbar",Madiun,(+62) 694 5061 446,Mengurus Rumah Tangga,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
176,Lasmanto,Rajata,"3671790208980470",marwata.adriansyah@gmail.com,Dumai,1987-08-25,"Dk. Abdul. Muis No. 165, Batu 94994, Kalbar",Tidore Kepulauan,"0236 2293 481",Pramugari,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
177,Irsad,Salahudin,"8103751410082304",melinda60@yahoo.com,Ambon,1979-01-16,"Psr. Jend. Sudirman No. 603, Palu 37308, Banten",Administrasi Jakarta Timur,"0840 2418 1604",Tabib,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
178,Viktor,Pradana,"3205722004180993",twijayanti@yahoo.com,Banjar,2019-01-05,"Jln. Cut Nyak Dien No. 520, Sabang 75918, Riau",Pontianak,(+62) 571 8473 5588,Pemandu Wisata,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
179,Setya,Sudiati,"1111500810219868",zizi15@gmail.co.id,Gunungsitoli,2012-02-19,"Dk. Halim No. 21, Tangerang 88383, Sultra",Administrasi Jakarta Pusat,"0666 6778 3115",Juru Masak,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
180,Sabri,Hidayanto,"1172230601062686",glailasari@gmail.com,Batu,2012-10-11,"Ds. Bakti No. 380, Kendari 85124, Malut",Yogyakarta,(+62) 28 9831 8677,Pendeta,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
181,Anastasia,Yuniar,"1971452401042829",siska.latupono@yahoo.co.id,Makassar,1989-06-06,"Ds. Ters. Jakarta No. 435, Bima 58599, Jateng",Bogor,"020 7401 3672",Pensiunan,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
182,Nalar,Yolanda,"3209694210158515",agustina.raihan@yahoo.com,Kupang,2017-10-08,"Psr. Sutoyo No. 278, Yogyakarta 76646, Aceh",Banjarmasin,"0395 8086 686",Guru,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
183,Murti,Hidayat,"3101900102247337",anita39@gmail.com,Pariaman,1973-05-16,"Jr. Urip Sumoharjo No. 957, Parepare 50296, Sulsel",Blitar,(+62) 921 9479 843,Mengurus Rumah Tangga,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
184,Siti,Andriani,"3509006102101452",fathonah07@yahoo.com,Tangerang Selatan,1995-05-28,"Jln. Jambu No. 209, Payakumbuh 68388, Kalsel",Banda Aceh,"0688 0063 375",Biarawati,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
185,Vinsen,Mangunsong,"1471665705148813",galih57@gmail.co.id,Depok,1974-08-24,"Ds. Muwardi No. 491, Bogor 26617, Kaltim",Surabaya,"025 9049 440",Promotor Acara,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
186,Prayoga,Sudiati,"6108324408116827",gadang.hutapea@gmail.com,Administrasi Jakarta Selatan,1971-02-11,"Jr. Ronggowarsito No. 125, Medan 14284, Kalteng",Salatiga,(+62) 687 2694 499,Penata Rias,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
187,Mumpuni,Wasita,"1278695503063777",eluh.nasyidah@yahoo.co.id,Serang,1981-05-22,"Dk. Sutami No. 718, Sungai Penuh 17993, Jatim",Batam,"0523 7056 3728",Jaksa,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
188,Eka,Nasyidah,"7110520210135649",rahmat34@yahoo.co.id,Tual,1975-04-14,"Kpg. Bambu No. 319, Blitar 58889, Jabar",Kediri,"0672 4658 3478",Bidan,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
189,Diah,Winarsih,"3307436011019237",silvia.hastuti@gmail.com,Langsa,1970-08-26,"Jln. Karel S. Tubun No. 388, Pariaman 11271, Kalteng",Balikpapan,(+62) 944 9104 733,Tukang Gigi,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
190,Daryani,Pertiwi,"9204031704160534",endah48@gmail.com,Bontang,1978-08-25,"Kpg. Setia Budi No. 19, Tarakan 81880, Sulsel",Palangka Raya,(+62) 359 8510 5618,Pegawai Negeri Sipil (PNS),hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
191,Okta,Widiastuti,"3217824703057276",siregar.devi@yahoo.co.id,Cirebon,1973-08-09,"Ki. BKR No. 484, Sawahlunto 86052, DIY",Magelang,"023 0626 456",Promotor Acara,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
192,Mursinin,Puspasari,"9201561711096882",sihombing.virman@yahoo.com,Pematangsiantar,1983-08-19,"Ds. Warga No. 51, Tual 81011, Sulbar",Yogyakarta,"0346 3475 9401",Penyiar Radio,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
193,Rizki,Padmasari,"5316675803077393",siti.wahyuni@yahoo.co.id,Tangerang Selatan,1986-04-09,"Jln. Salak No. 67, Medan 56236, Kalbar",Pematangsiantar,(+62) 665 5848 155,Ustaz / Mubaligh,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
194,Prabu,Prakasa,"5314724803101597",lutfan91@gmail.com,Tasikmalaya,1971-06-17,"Kpg. Gading No. 760, Administrasi Jakarta Pusat 15075, NTT",Depok,(+62) 21 5976 2093,Karyawan Honorer,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
195,Ajiman,Utami,"7304371611061396",mujur61@gmail.co.id,Parepare,1988-05-18,"Psr. R.M. Said No. 80, Surabaya 76576, Pabar",Bandar Lampung,"0945 1652 510",Tukang Listrik,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
196,Gasti,Santoso,"6309442204958684",galak93@yahoo.co.id,Administrasi Jakarta Timur,2013-08-13,"Jr. Baung No. 68, Salatiga 73111, Sultra",Administrasi Jakarta Pusat,(+62) 943 4158 924,Atlet,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
197,Margana,Widodo,"3326085211946614",puspita.ami@yahoo.co.id,Sabang,2004-07-02,"Gg. Kyai Gede No. 44, Banjar 36229, Sumsel",Administrasi Jakarta Pusat,(+62) 930 5218 429,Programmer,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
198,Lantar,Suartini,"1312006508200395",tania.setiawan@yahoo.com,Yogyakarta,2022-06-24,"Jr. Basoka Raya No. 910, Tomohon 74710, Sumbar",Tidore Kepulauan,(+62) 388 7177 770,Tukang Jahit,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
